score<Pub. year>	score<Citations>
2025	0
2022	4
2019	22
2025	10
2022	18
2023	37
2025	1
2025	2
2015	82
2024	15
2018	50
2024	3
2025	7
2019	298
2021	34
2023	11
2021	7
2021	5
2017	21
2019	109
2024	16
2026	0
2024	11
2016	72
2023	36
2020	51
2021	59
2021	7
2025	0
2021	18
2020	28
2018	101
2020	67
2021	43
2021	23
2020	39
2020	67
2024	39
2021	32
2020	175
2024	8
2020	4
2025	9
2025	1
2021	13
2024	4
2021	20
2017	8
2024	3
2019	116
2021	14
2018	29
2023	11
2023	8
2026	2
2023	10
2020	25
2022	22
2021	18
2025	1
2022	40
2025	1
2023	36
2017	18
2019	10
2019	148
2022	40
2022	14
2024	7
2022	33
2022	20
2025	0
2020	37
2020	6
2015	4
2025	0
2025	2
2023	7
2019	17
2023	47
2022	25
2024	4
2022	32
2020	24
2022	47
2024	6
2020	53
2021	15
2024	27
2026	0
2022	26
2025	5
2024	1
2025	1
2020	57
2021	33
2021	51
2019	125
2021	15
2022	9
2022	12
2024	19
2022	10
2023	22
2025	0
2022	42
2023	26
2017	20
2025	4
2025	14
2017	70
2022	8
2022	6
2020	47
2023	20
2025	3
2026	2
2021	31
2022	10
2023	27
2022	3
2026	0
2024	7
2024	4
2022	55
2024	7
2021	61
2025	0
2023	12
2024	5
2025	0
2021	31
2021	19
2024	5
2020	49
2021	33
2019	11
2022	23
2024	1
2024	16
2018	188
2025	0
2019	17
2023	9
2025	4
2024	1
2022	6
2025	0
2025	1
2024	30
2024	8
2024	4
2026	0
2021	32
2023	11
2017	155
2025	2
2021	7
2023	5
2017	106
2019	75
2021	32
2023	11
2019	131
2025	0
2016	33
2022	39
2022	15
2022	13
2025	22
2025	0
2020	30
2023	4
2024	5
2023	31
2022	53
2024	3
2022	64
2020	81
2026	0
2021	18
2015	23
2022	4
2021	25
2024	5
2025	3
2025	7
2024	7
2020	58
2025	1
2017	87
2023	34
2017	42
2025	0
2016	50
2023	3
2023	23
2023	23
2025	3
2017	66
2025	0
2018	37
2024	17
2025	0
2017	64
2026	0
2020	3
2024	11
2024	9
2023	8
2025	0
2024	11
2019	34
2017	39
2025	0
2025	0
2025	0
2025	1
2024	0
2024	18
2018	53
2025	6
2025	2
2024	2
2025	0
2023	4
2025	3
2025	0
2024	6
2025	2
2025	0
2025	0
2022	32
2022	2
2025	6
2025	5
2026	0
2023	4
2022	55
2024	5
2024	11
2024	1
2019	28
2025	0
2026	0
2020	68
2025	2
2025	1
2024	28
2025	0
2025	1
2025	4
2017	171
2018	38
2025	0
2017	55
2024	52
2023	5
2018	18
2022	14
2025	0
2025	1
2017	29
2026	0
2026	0
2025	0
2025	1
2020	34
2025	0
2026	9
2017	25
2019	22
2025	0
2025	1
2023	5
2021	3
2021	0
2025	0
2025	0
2025	0
2024	4
2024	2
2020	2
2024	6
2016	4
2025	0
2025	2
2016	8
2025	0
2020	1
2025	0
2020	1
2025	1
2026	0
2026	0
2021	1
2018	28
2020	50
2026	0
2023	2
2025	0
2024	0
2020	29
2022	10
2026	0
2026	0
2026	0
2025	0
2019	17
2025	0
2025	1
2021	3
2020	18
2020	17
2025	1
2020	36
2017	5
2022	7
2025	0
2024	0
2021	5
2025	0
2025	0
2017	42
2024	4
2025	0
2024	1
2025	0
2025	1
2025	0
2023	2
2025	0
2025	0
2025	0
2025	0
2026	0
2026	0
2025	1
2018	25
2025	1
2026	0
2025	2
2025	0
2023	1
2026	0
2020	15
2022	14
2025	1
2025	0
2025	0
2025	0
2023	1
2025	1
2024	0
2025	0
2025	0
2025	0
2018	1
2025	0
2019	28
2022	9
2022	8
2017	4
2023	3
2025	2
2020	11
2017	7
2024	1
2025	0
2025	0
2023	4
2025	0
2025	0
2022	28
2020	35
2018	19
2025	0
2024	0
2020	2
2025	1
2021	9
2024	1
2024	0
2016	2
2025	1
2018	1
2022	9
2024	0
2022	0
2024	1
2025	0
2018	2
2018	2
2021	1
2022	8
2025	0
2023	4
2023	2
2018	14
2017	22
2016	14
2023	1
2024	2
2021	0
2025	1
2025	0
2016	0
2021	1
2016	9
2021	0
2018	12
2016	12
2024	1
2016	16
2022	8
2018	3
2016	12
2018	5
2022	3
2018	13
2019	2
2021	3
2025	0
2025	0
2022	2
2023	4
2025	1
2025	0
2022	1
2026	0
2021	23
2026	0
2023	0
2014	44
2024	0
2022	1
2013	58
2025	0
2024	5
2024	2
2023	8
2025	0
